tactics.formation,count,Season
352,2,2008/2009
433,23,2008/2009
442,2,2008/2009
4231,1,2008/2009
41212,5,2008/2009
433,33,2009/2010
442,1,2009/2010
4231,1,2009/2010
433,30,2010/2011
3412,1,2010/2011
3511,1,2010/2011
41212,1,2010/2011
343,1,2011/2012
352,1,2011/2012
433,24,2011/2012
3412,1,2011/2012
3421,2,2011/2012
3511,6,2011/2012
4411,1,2011/2012
41212,1,2011/2012
433,32,2012/2013
433,30,2013/2014
41212,1,2013/2014
433,38,2014/2015
433,32,2015/2016
4231,1,2015/2016
343,6,2016/2017
352,1,2016/2017
433,24,2016/2017
3511,1,2016/2017
41212,2,2016/2017
433,5,2017/2018
442,16,2017/2018
451,2,2017/2018
4222,5,2017/2018
4231,4,2017/2018
4321,3,2017/2018
4411,1,2017/2018
352,1,2018/2019
433,14,2018/2019
442,3,2018/2019
4141,1,2018/2019
41221,15,2018/2019
352,2,2019/2020
433,23,2019/2020
442,2,2019/2020
4231,1,2019/2020
41212,5,2019/2020
